id,value
category,
category.ChineseArt,
category.ChineseArt.31.两代,191.596054
category.ChineseArt.13.二十年,95.425112
category.ChineseArt.25.于本周,108.865955
category.ChineseArt.3.余下,108.865955
category.ChineseArt.29.作品,1571.154715
category.ChineseArt.30.创作,1102.361623
category.ChineseArt.23.启发,108.865955
category.ChineseArt.24.回顾,79.309838
category.ChineseArt.30.富比,1709.483340
category.ChineseArt.17.对话,239.998420
category.ChineseArt.26.展售会,312.321109
category.ChineseArt.24.展览,713.644275
category.ChineseArt.34.当代,737.864022
category.ChineseArt.51.彭先诚,383.192109
category.ChineseArt.14.彭薇,191.596054
category.ChineseArt.1.彭薇致,108.865955
category.ChineseArt.20.抓紧,95.425112
category.ChineseArt.29.数天,108.865955
category.ChineseArt.5.新,158.817549
category.ChineseArt.8.水墨,1013.576247
category.ChineseArt.47.父亲,102.918287
category.ChineseArt.24.生涯,297.724029
category.ChineseArt.42.空间,507.307075
category.ChineseArt.18.细赏,210.314716
category.ChineseArt.15.缘,191.596054
category.ChineseArt.40.艺术,3112.822479
category.ChineseArt.15.蘇,1709.483340
category.ChineseArt.33.请,673.596955
category.ChineseArt.41.过去,75.842309
category.ChineseArt.45.近期,161.242109
category.ChineseArt.32.闭幕,102.918287
category.ChineseArt.43.香港,2125.488250
category.ChineseArt.12.三张,93.802473
category.ChineseArt.41.不同,196.531917
category.ChineseArt.39.中,541.760611
category.ChineseArt.7.丰富,214.079670
category.ChineseArt.31.乃仅,93.802473
category.ChineseArt.2.九十年代,93.802473
category.ChineseArt.23.作,279.227624
category.ChineseArt.5.使用,51.686476
category.ChineseArt.16.古今,165.313357
category.ChineseArt.30.同期,296.263633
category.ChineseArt.20.图,616.222805
category.ChineseArt.1.多种,93.802473
category.ChineseArt.32.媒材,180.402304
category.ChineseArt.11.尝试,79.917025
category.ChineseArt.50.展现,154.584967
category.ChineseArt.5.幅,346.409063
category.ChineseArt.27.彭氏,93.802473
category.ChineseArt.49.春怨,93.802473
category.ChineseArt.15.杰作,353.846844
category.ChineseArt.29.构图,82.221402
category.ChineseArt.49.正是,74.792319
category.ChineseArt.39.水墨画,93.802473
category.ChineseArt.45.独特,74.792319
category.ChineseArt.21.画法,151.406623
category.ChineseArt.4.类型,85.041731
category.ChineseArt.20.系列,202.620722
category.ChineseArt.1.结合,76.280988
category.ChineseArt.22.色,77.968702
category.ChineseArt.45.艺术家,1542.776140
category.ChineseArt.8.装饰,74.792319
category.ChineseArt.42.试图,82.221402
category.ChineseArt.10.采用,62.395541
category.ChineseArt.5.金箔,93.802473
category.ChineseArt.8.颜色,141.554124
category.ChineseArt.36.饱和,93.802473
category.ChineseArt.32.鲜丽,93.802473
category.ChineseArt.36..,302.241119
category.ChineseArt.50./,915.702577
category.ChineseArt.15.36,85.046345
category.ChineseArt.14.RftB0rL,97.025316
category.ChineseArt.13.cn,316.943361
category.ChineseArt.35.http,316.383893
category.ChineseArt.47.t,319.209417
category.ChineseArt.11.—,702.722600
category.ChineseArt.20.个展,91.724537
category.ChineseArt.44.了解,67.593436
category.ChineseArt.1.件,453.325782
category.ChineseArt.3.共,290.879485
category.ChineseArt.7.别有天地,97.025316
category.ChineseArt.20.包括,360.727273
category.ChineseArt.17.博客,87.963574
category.ChineseArt.28.多元,87.963574
category.ChineseArt.27.大型,85.046345
category.ChineseArt.11.展出,439.183647
category.ChineseArt.44.文章,74.738582
category.ChineseArt.10.更,257.320270
category.ChineseArt.24.油画,78.901833
category.ChineseArt.43.浏览,610.424083
category.ChineseArt.39.混合,82.662795
category.ChineseArt.14.渡,97.025316
category.ChineseArt.21.炭笔,97.025316
category.ChineseArt.12.现于,97.025316
category.ChineseArt.29.理念,183.846251
category.ChineseArt.15.画布,249.316282
category.ChineseArt.26.纸本,85.046345
category.ChineseArt.51.背后,124.675894
category.ChineseArt.15.蒋友梅,97.025316
category.ChineseArt.48.装置,97.025316
category.ChineseArt.5.诗人,91.724537
category.ChineseArt.0.进行,154.414663
category.ChineseArt.42.首个,153.017382
category.ChineseArt.24.首次,356.012951
category.ChineseArt.48.1,534.203918
category.ChineseArt.9.3,269.951350
category.ChineseArt.47.7,303.296596
category.ChineseArt.2.举槌,177.269981
category.ChineseArt.1.亚洲,1335.233488
category.ChineseArt.8.呈献,1210.709327
category.ChineseArt.11.周将,195.531799
category.ChineseArt.29.售会,184.849320
category.ChineseArt.16.囊括,380.133953
category.ChineseArt.26.场,367.610346
category.ChineseArt.25.场展,195.531799
category.ChineseArt.12.拍卖,2528.093007
category.ChineseArt.37.月,1542.147831
category.ChineseArt.48.纽约,1010.947546
category.ChineseArt.25.逾,369.924087
category.ChineseArt.45.1950,270.515139
