id,value
category,
category.stock,
category.stock.9.24%,80.558857
category.stock.21.49,76.157689
category.stock.28.50,344.776946
category.stock.18.上市,961.013788
category.stock.22.中信,241.676572
category.stock.46.中信集团,80.558857
category.stock.31.中国,2663.688602
category.stock.37.乐,508.512759
category.stock.33.亿澳元,80.558857
category.stock.24.亿美元,1410.829495
category.stock.43.使,62.054472
category.stock.26.公司,2323.701234
category.stock.40.共同,63.089027
category.stock.50.同意,213.060368
category.stock.41.安塞,80.558857
category.stock.1.成功,219.620381
category.stock.14.持有,76.157689
category.stock.9.接受,374.461397
category.stock.37.提出,141.017403
category.stock.6.收购,572.248854
category.stock.19.收购价,80.558857
category.stock.14.收购案,80.558857
category.stock.2.方面,140.665017
category.stock.10.更进一步,80.558857
category.stock.27.案,80.558857
category.stock.18.此番,80.558857
category.stock.6.澳,152.315379
category.stock.50.煤矿,241.676572
category.stock.25.皮博迪,80.558857
category.stock.21.米塔尔,80.558857
category.stock.35.约合,68.633843
category.stock.23.联合,138.292844
category.stock.28.股权,649.336503
category.stock.47.能源,281.664815
category.stock.3.表态,70.612874
category.stock.33.表示,1239.947433
category.stock.31.资源,70.612874
category.stock.4.钢铁,70.612874
category.stock.43.香港,219.200531
category.stock.6.麦克阿瑟,161.117715
category.stock.47.IBM,477.105542
category.stock.0.Sv9EEr,122.373395
category.stock.13.cn,1691.419941
category.stock.35.http,1688.434252
category.stock.12.一片,115.687776
category.stock.4.事情,139.722165
category.stock.5.交易员,122.373395
category.stock.42.仍然,90.287738
category.stock.42.利好,122.373395
category.stock.20.原因,263.229897
category.stock.1.发布,476.210869
category.stock.29.在于,101.716879
category.stock.15.太,124.70551
category.stock.42.太快,122.373395
category.stock.0.巨人,115.687776
category.stock.25.引发,329.529757
category.stock.21.惊诧,122.373395
category.stock.39.惩罚,110.944253
category.stock.25.投资者,1070.678777
category.stock.39.报告,283.026755
category.stock.21.此前,305.689963
category.stock.47.涨得,122.373395
category.stock.41.盖伊,122.373395
category.stock.33.股价,1823.14626
category.stock.41.蓝色,291.484658
category.stock.1.认为,679.844256
category.stock.36.该股,122.373395
category.stock.22.这家,228.543383
category.stock.39.117.12,89.612514
category.stock.0.120,78.548745
category.stock.37.24,151.74481
category.stock.38.3.7%,89.612514
category.stock.5.4.88,89.612514
category.stock.47.5,224.379584
category.stock.46.5.19,89.612514
category.stock.22.6%,172.000308
category.stock.42.H股,334.730865
category.stock.49.交易,782.937251
category.stock.40.亿港元,145.747355
category.stock.36.亿股,89.612514
category.stock.21.低,129.79934
category.stock.13.出售,152.6946
category.stock.33.售价,58.641986
category.stock.27.套现,89.612514
category.stock.25.完成,303.323612
category.stock.23.工行,254.150155
category.stock.44.已,602.37084
category.stock.41.拟,129.298299
category.stock.8.收市价,89.612514
category.stock.19.昨日,361.985046
category.stock.2.此项,89.612514
category.stock.17.每股,609.992371
category.stock.35.港元,157.09749
category.stock.36.股份,618.06128
category.stock.30.股票,1283.617559
category.stock.35.解禁,89.612514
category.stock.12.配,81.243096
category.stock.26.高盛,679.942325
category.stock.27.36%,110.705395
category.stock.12.下滑,369.913707
category.stock.7.下跌,1367.119732
category.stock.19.业绩,423.867181
category.stock.27.依旧,190.458493
category.stock.5.充满,171.620398
category.stock.33.公布,281.127607
category.stock.7.减少,286.538816
category.stock.19.刚,99.768478
category.stock.5.利润,537.029133
category.stock.12.十月份,110.705395
category.stock.51.受到,155.302579
category.stock.21.坏账,110.705395
category.stock.50.好转,117.103082
category.stock.23.巨大,91.708346
category.stock.51.市场,1889.068531
category.stock.13.影响,330.017215
category.stock.21.投行,228.688396
category.stock.9.挑战,349.297383
category.stock.30.控股,266.077359
category.stock.24.收入,741.071426
category.stock.8.整个,171.64413
category.stock.18.有所,165.309577
category.stock.17.未来,317.766595
category.stock.10.汇丰,194.67238
category.stock.18.环境,386.36649
category.stock.1.第三季度,337.459733
category.stock.9.行业,335.281364
category.stock.49.银行,474.223369
category.stock.50.面临,257.42791
category.stock.26.风险,318.027844
category.stock.39.2008,257.321258
category.stock.14.500,394.595858
category.stock.9.SwZd7t,104.996032
category.stock.42.上,318.739354
category.stock.47.不,368.827816
category.stock.6.以来,383.068326
category.stock.36.出炉,83.717375
category.stock.29.削减,244.071402
category.stock.39.努力,161.71218
category.stock.8.历史性,95.18986
category.stock.17.取得,73.146297
category.stock.30.回报,158.715886
category.stock.6.地说,99.259789
category.stock.39.增长,824.418287
category.stock.0.季度,302.388248
category.stock.22.完全,179.853432
category.stock.30.已经,325.410579
category.stock.8.年,1203.719685
category.stock.4.开支,104.996032
category.stock.23.开来,104.996032
category.stock.29.很,231.172424
category.stock.12.指数,608.227678
category.stock.6.措施,157.686858
category.stock.49.提高效率,104.996032
category.stock.6.收益,529.628453
category.stock.33.显著,185.063618
category.stock.47.标普,290.948879
category.stock.6.看,258.593307
category.stock.15.看到,132.475015
category.stock.26.确定,83.717375
category.stock.17.经济危机,99.259789
category.stock.2.表现,358.972847
category.stock.12.财报,554.852729
category.stock.48.阴云,99.259789
category.stock.37.陆续,87.272799
category.stock.2.驱散,104.996032
category.stock.25.25,165.386657
category.stock.38.CNBC,984.679738
category.stock.40.SUVebX,108.182647
category.stock.13.·,199.642127
category.stock.11.—,834.286542
category.stock.13.“,875.232972
category.stock.49.”,845.589646
category.stock.11.一个,546.828768
category.stock.29.一无所有,108.182647
category.stock.40.专访,266.167907
category.stock.4.世界,312.615839
category.stock.25.体系,151.658484
category.stock.11.几百年,108.182647
category.stock.6.到底,115.681838
category.stock.15.占,154.918341
category.stock.37.发展,254.547128
category.stock.19.国内,171.637433
category.stock.16.国家,71.365897
category.stock.0.好,322.145449
category.stock.14.工作,184.180011
category.stock.9.巴菲特,1537.337473
category.stock.15.年轻,83.333071
category.stock.24.时,429.147322
category.stock.1.曾经,83.333071
category.stock.44.沃伦,330.885434
category.stock.29.没有,246.006199
category.stock.22.生产总值,188.076138
category.stock.2.眼里,98.078859
category.stock.50.社会,133.926171
category.stock.40.聪明,108.182647
category.stock.18.股神,749.113799
category.stock.24.评价,171.139041
category.stock.33.详见,177.254364
category.stock.3.还,331.699985
category.stock.44.进步,86.258185
category.stock.40.连线,108.182647
category.stock.25.Jesper,105.675378
category.stock.49.Koll,105.675378
category.stock.40.SUceq5,105.675378
category.stock.49.商业,135.9116
category.stock.39.大通,200.541295
category.stock.1.总经理,274.740366
category.stock.11.投资,640.662537
category.stock.33.摩根,200.541295
category.stock.4.日本,469.165328
category.stock.41.时称,105.675378
category.stock.22.极具,87.837472
category.stock.35.目前,462.375568
category.stock.0.研究,425.438883
category.stock.41.英文,92.62845
category.stock.46.行,175.674944
category.stock.47.表明,161.685153
category.stock.49.视频,167.505437
category.stock.19.证券,709.511347
category.stock.7.象征意义,105.675378
category.stock.28.适合,84.259043
category.stock.13.采访,243.763432
category.stock.4.SUtSxj,94.038397
category.stock.21.一些,119.959712
category.stock.20.不会,171.804285
category.stock.37.不再,74.980431
category.stock.28.不同于,88.900802
category.stock.7.东风,88.900802
category.stock.44.净值,94.038397
category.stock.2.周期性,94.038397
category.stock.46.奢侈品,282.115192
category.stock.33.富裕,94.038397
category.stock.48.很大,133.180819
category.stock.44.必需,94.038397
category.stock.31.搭,88.900802
category.stock.13.支出,170.511241
category.stock.3.放缓,327.946391
category.stock.33.故事,66.197654
category.stock.17.消费品,94.038397
category.stock.15.消费者,76.472844
category.stock.6.相比,284.414544
category.stock.24.算不上,94.038397
category.stock.42.类产品,94.038397
category.stock.50.经济,813.861846
category.stock.51.结构性,94.038397
category.stock.39.膨胀,94.038397
category.stock.6.负担,88.900802
category.stock.5.财富,82.428198
category.stock.21.资产,411.791391
category.stock.18.非,193.652514
category.stock.10.12,269.387483
category.stock.46.ScxQBk,138.772123
category.stock.4.不禁,138.772123
category.stock.44.争相,131.190592
category.stock.18.可能,423.116979
category.stock.2.周一,415.337084
category.stock.47.圣诞老人,138.772123
category.stock.14.底,138.772123
category.stock.41.是否,176.392272
category.stock.14.普尔,138.772123
category.stock.37.月,580.389487
category.stock.0.标准,217.71747
category.stock.42.欧洲,343.137598
category.stock.51.结束,224.067132
category.stock.29.股市,1635.86903
category.stock.26.行情,197.432731
category.stock.11.见,112.850699
category.stock.36.负面新闻,138.772123
category.stock.50.逃命,138.772123
category.stock.0.问,210.23188
category.stock.1.hsk3v,110.937845
category.stock.24.sinaurl,209.985405
category.stock.41.低迷,191.981103
category.stock.8.债务,77.285707
category.stock.46.减缓,110.937845
category.stock.33.危机,409.772187
category.stock.9.受,183.598174
category.stock.2.大,581.338322
category.stock.40.恐,110.937845
category.stock.14.恐会,110.937845
category.stock.34.拖累,104.876984
category.stock.50.紧缩,180.409842
category.stock.9.经济学家,191.032328
category.stock.17.经济界,110.937845
category.stock.25.美国,696.483067
category.stock.32.讨论,97.241201
category.stock.36.迹象,97.241201
category.stock.32.部分,111.565886
category.stock.19.金融业,100.576734
category.stock.18.预计,320.291448
category.stock.50.IPO,765.969185
category.stock.36.bHEGF,128.624482
category.stock.35.上海,183.137544
category.stock.51.下半年,267.229815
category.stock.17.中国农行,128.624482
category.stock.28.亚历山大,128.624482
category.stock.26.全球,359.262078
category.stock.47.公开,167.865381
category.stock.36.农行,128.624482
category.stock.37.冠,116.611516
category.stock.20.募股,128.624482
category.stock.12.咨奔,128.624482
category.stock.39.咨询,209.765739
category.stock.10.商务,128.624482
category.stock.48.将会,189.648687
category.stock.14.强势,192.860798
category.stock.11.成为,332.990144
category.stock.29.最大,664.895178
category.stock.21.正式,159.297717
category.stock.44.负责人,214.512408
category.stock.42.非常,139.997838
category.stock.48.1,77.845532
category.stock.14.2,200.659123
category.stock.26.20%,352.632496
category.stock.0.50%,172.803124
category.stock.34.71,65.177023
category.stock.39.中,627.036458
category.stock.51.以下,202.025707
category.stock.51.决策,78.413079
category.stock.36.动用,78.413079
category.stock.39.后,644.017007
category.stock.26.否决权,78.413079
category.stock.51.和雅虎,78.413079
category.stock.20.回购,132.102355
category.stock.22.委任,78.413079
category.stock.11.成员,78.413079
category.stock.33.战略,130.73673
category.stock.14.投票权,78.413079
category.stock.17.放弃,133.611402
category.stock.5.新,291.059044
category.stock.24.权力,111.503697
category.stock.7.比例,268.449634
category.stock.18.相关,251.637525
category.stock.48.第二名,74.129141
category.stock.49.经营,126.234583
category.stock.44.维持,111.551986
category.stock.9.董事会,235.239236
category.stock.7.软银,148.258282
category.stock.46.达成协议,71.089639
category.stock.6.阿里巴巴,415.614717
category.stock.26.降,111.497009
category.stock.20.雅虎,505.553874
category.stock.11.雅虎将,78.413079
category.stock.20.集团,699.684655
category.stock.37.集团公司,78.413079
category.stock.34.10,311.030738
category.stock.47.4.36,182.336701
category.stock.4.70%,290.143161
category.stock.15.8.58,182.336701
category.stock.24.9.83,182.336701
category.stock.34.上升,421.825239
category.stock.19.之间,219.513909
category.stock.21.互联网,160.317027
category.stock.44.产业,160.317027
category.stock.18.亿到,174.860386
category.stock.9.今年,660.581267
category.stock.19.分析员,182.336701
category.stock.40.广告,160.317027
category.stock.24.指出,362.481914
category.stock.5.百度,860.9641
category.stock.49.盈利,483.062243
category.stock.42.看涨,364.673402
category.stock.27.第二季度,251.881796
category.stock.25.继续,481.90589
category.stock.19.达到,367.934294
category.stock.11.重要,145.727422
category.stock.27.销售额,182.336701
category.stock.24.预期,554.748764
category.stock.17.10%,349.956814
category.stock.4.11,358.933177
category.stock.9.Francis,82.068844
category.stock.37.zjURevb,82.068844
category.stock.22.一种,124.943165
category.stock.38.事件,56.606689
category.stock.13.二十年,71.936434
category.stock.42.出现,158.966369
category.stock.36.告诉,201.724031
category.stock.37.喜欢,57.173894
category.stock.10.喝,82.068844
category.stock.43.国宴,82.068844
category.stock.35.地位,190.190553
category.stock.31.塑化剂,82.068844
category.stock.5.大都,82.068844
category.stock.6.官员,69.920309
category.stock.15.已使,82.068844
category.stock.41.常常,82.068844
category.stock.44.常用,77.585181
category.stock.49.灵狮,82.068844
category.stock.12.现况,82.068844
category.stock.6.白酒,483.201165
category.stock.23.看出,74.403972
category.stock.9.礼品,77.585181
category.stock.27.级别,74.403972
category.stock.9.股指,298.697208
category.stock.35.腐败,164.137689
category.stock.2.茅台,528.713391
category.stock.32.表,139.840618
category.stock.12.视为,71.936434
category.stock.41.过去,256.443253
category.stock.39.酒,71.936434
category.stock.40.酒鬼,82.068844
category.stock.28.阴晴,164.137689
category.stock.15.2013,175.588304
category.stock.12.Autonomy,244.952621
category.stock.46.CEO,104.814993
category.stock.30.zjUplOc,81.650874
category.stock.39.•,763.771087
category.stock.44.下降,397.903134
category.stock.48.充满信心,81.650874
category.stock.39.十年,61.938374
category.stock.5.去年,346.808783
category.stock.46.受害者,81.650874
category.stock.22.已跌,240.709556
category.stock.42.惠普,326.603495
category.stock.3.惠特曼,81.650874
category.stock.40.执行官,146.389864
category.stock.19.最低水平,226.20414
category.stock.11.期望值,81.650874
category.stock.41.本周,129.346796
category.stock.4.梅格,81.650874
category.stock.0.独家,111.80748
category.stock.27.称,526.267588
category.stock.21.虚假,74.025038
category.stock.2.财年,81.650874
category.stock.24.账目,81.650874
category.stock.21.首席,235.314219
category.stock.9.iPhone5,379.203799
category.stock.26.疲软,545.638163
category.stock.33.销售,304.278441
category.stock.4.20,302.805438
category.stock.31.2020,114.565177
category.stock.10.9,142.212908
category.stock.31.AMC,86.859341
category.stock.8.zTS1YcA,86.859341
category.stock.18.万达,296.006702
category.stock.36.下,123.682794
category.stock.32.业务,198.497754
category.stock.23.主题公园,82.113959
category.stock.20.亿万富翁,82.113959
category.stock.51.占据,86.859341
category.stock.37.市场份额,76.135485
category.stock.9.房产,147.914498
category.stock.39.所有者,82.113959
category.stock.36.抢滩,86.859341
category.stock.2.正在,150.848137
category.stock.3.涉足,86.859341
category.stock.34.澳大利亚,157.511486
category.stock.13.王健林,78.747057
category.stock.7.电影,72.197565
category.stock.38.电影业,86.859341
category.stock.33.电影院,260.578024
category.stock.23.电视,78.747057
category.stock.18.目标,297.884157
category.stock.34.董事长,467.920257
category.stock.26.117.53,86.643592
category.stock.36.173,86.643592
category.stock.33.190,78.551458
category.stock.47.8.3%,86.643592
category.stock.43.zT6JDVD,86.643592
category.stock.35.上周五,163.04937
category.stock.31.中间价,81.909997
category.stock.37.令人,65.725729
category.stock.3.估算,81.909997
category.stock.10.估计,75.946372
category.stock.29.基础,72.018234
category.stock.0.大跌,230.336644
category.stock.33.失望,81.909997
category.stock.51.总价,86.643592
category.stock.11.成本,72.018234
category.stock.30.损失,407.834952
category.stock.28.数量,111.909845
category.stock.22.每季度,86.643592
category.stock.29.水平,64.791272
category.stock.29.第一季度,252.157561
category.stock.35.美元,520.051609
category.stock.26.账面,86.643592
category.stock.30.购买,193.395968
category.stock.35.跳水,86.643592
category.stock.23.达,173.898287
category.stock.40.阶段,155.818167
category.stock.33.首尾,86.643592
category.stock.34.高,104.856999
category.stock.21.Anthony,102.187306
category.stock.46.Asset,102.187306
category.stock.43.Cragg,102.187306
category.stock.36.Fargo,102.187306
category.stock.28.Management,102.187306
category.stock.47.Wells,102.187306
category.stock.3.zHOgD3b,102.187306
category.stock.14.克拉,87.060663
category.stock.16.利于,217.785631
category.stock.38.处理,89.571024
category.stock.43.大多数,92.643457
category.stock.47.安东尼,96.604512
category.stock.33.富国,102.187306
category.stock.6.带来,238.867645
category.stock.31.废物,102.187306
category.stock.32.恶化,92.643457
category.stock.47.意味着,81.477869
category.stock.34.所谓,134.220988
category.stock.24.技术,136.056532
category.stock.19.提供,113.434038
category.stock.45.机会,146.099686
category.stock.47.格,177.141369
category.stock.5.清洁,89.571024
category.stock.30.环保,92.643457
category.stock.49.管理,81.477869
category.stock.37.组合,89.571024
category.stock.50.经理,92.643457
category.stock.3.进入,248.205808
category.stock.13.都,357.411469
category.stock.20.问题,339.982849
category.stock.20.饮水,102.187306
category.stock.15.高效能,102.187306
category.stock.16.zHBOZ7I,98.650959
category.stock.6.两个,71.86812
category.stock.35.买入,244.234024
category.stock.14.会,390.191931
category.stock.36.债券,77.257713
category.stock.20.包括,56.407088
category.stock.49.回归,84.047797
category.stock.47.回答,86.471283
category.stock.14.基本概念,98.650959
category.stock.32.尾声,98.650959
category.stock.11.应对,81.998769
category.stock.21.归于,98.650959
category.stock.16.影子,86.471283
category.stock.38.抛售,98.650959
category.stock.16.新兴,195.914121
category.stock.35.最终,162.477163
category.stock.12.泡沫,89.43739
category.stock.13.流入,186.522733
category.stock.1.海外投资,98.650959
category.stock.26.经济体,188.815866
category.stock.25.美联储,766.481923
category.stock.51.背后,256.862578
category.stock.18.计划,223.823458
category.stock.17.许多,214.689563
category.stock.31.资金,276.74044
category.stock.47.里面,78.658204
category.stock.6.重创,93.261367
category.stock.30.需要,387.13757
category.stock.8.Bill,100.781619
category.stock.15.Blain,100.781619
category.stock.4.Mint,100.781619
category.stock.34.Partners,199.915691
category.stock.2.QE,273.208919
category.stock.34.zH1nidD,100.781619
category.stock.35.借此机会,100.781619
category.stock.42.全面,535.888284
category.stock.41.分析师,764.501213
category.stock.19.固定,95.275622
category.stock.1.央行,414.785121
category.stock.29.布雷,100.781619
category.stock.28.恩,95.275622
category.stock.6.支撑,95.275622
category.stock.14.放慢,100.781619
category.stock.5.政策,134.183506
category.stock.7.比尔,191.088142
category.stock.35.经纪人,100.781619
category.stock.37.缩减,240.879787
category.stock.8.节奏,91.369055
category.stock.30.误解,100.781619
category.stock.3.误读,91.369055
category.stock.35.资深,83.769775
category.stock.49.1.12%,85.335943
category.stock.40.1.35%,85.335943
category.stock.36.1.39%,85.335943
category.stock.47.16,149.958184
category.stock.5.30,297.845763
category.stock.50.Ben,85.335943
category.stock.7.Bernanke,85.335943
category.stock.45.zH1Tudv,85.335943
category.stock.35.主席,431.550365
category.stock.18.伯南克,77.365938
category.stock.42.全盘,85.335943
category.stock.35.公告,119.864108
category.stock.5.后半期,85.335943
category.stock.1.周三,70.931315
category.stock.43.均值,80.673789
category.stock.42.工业,280.300572
category.stock.15.恐慌,80.673789
category.stock.1.成份股,85.335943
category.stock.19.支,80.673789
category.stock.33.暗示,77.365938
category.stock.32.最好,290.190658
category.stock.39.标尺,85.335943
category.stock.44.波动性,144.310089
category.stock.6.纳斯达克,417.441008
category.stock.14.股票市场,85.335943
category.stock.24.致美股,85.335943
category.stock.4.衡量,80.673789
category.stock.50.道琼斯,139.459293
category.stock.6.高于,72.703784
category.stock.9.2014,444.673046
category.stock.27.z8QvK2h,83.547776
category.stock.29.人,297.49584
category.stock.25.作者,128.713671
category.stock.13.做出,177.369893
category.stock.11.增长势头,78.983315
category.stock.16.媒体,171.51566
category.stock.12.推特,302.979112
category.stock.15.推特营,83.547776
category.stock.24.收,78.983315
category.stock.39.有利,75.744778
category.stock.4.本文,83.547776
category.stock.20.此举,75.744778
category.stock.49.比较,64.356836
category.stock.31.消息,353.473252
category.stock.14.特别,57.077529
category.stock.23.申请,270.28463
category.stock.49.真正,61.641991
category.stock.42.社交,73.232774
category.stock.1.秘密,167.095553
category.stock.22.空前,83.547776
category.stock.48.路径,83.547776
category.stock.0.较强,83.547776
category.stock.6.近日,89.906722
category.stock.0.进行,176.730613
category.stock.46.选取,83.547776
category.stock.50.震惊,78.983315
category.stock.39.8kqFmAd,116.76005
category.stock.51.Jefferies,116.76005
category.stock.36.一年,197.12018
category.stock.51.万马奔腾,116.76005
category.stock.42.全部,322.106179
category.stock.35.十二生肖,116.76005
category.stock.1.另据,116.76005
category.stock.44.属于,89.940244
category.stock.33.属相,116.76005
category.stock.13.显示,153.032846
category.stock.7.杰富瑞,116.76005
category.stock.3.潜力,105.85517
category.stock.18.第二,87.312079
category.stock.30.规则,150.74999
category.stock.13.释放,166.967785
category.stock.35.马年,220.762208
category.stock.13.37%,197.56719
category.stock.7.40%,73.840535
category.stock.43.HSBC,73.840535
category.stock.3.zWwjQaG,73.840535
category.stock.40.东亚,69.806409
category.stock.1.亚洲,402.775341
category.stock.29.人群,64.724011
category.stock.28.保持,190.857406
category.stock.45.养老,295.36214
category.stock.30.养老金,64.724011
category.stock.32.制度,229.01684
category.stock.28.基金,235.347857
category.stock.49.存在,86.676757
category.stock.23.平均,167.332479
category.stock.14.推动,203.147061
category.stock.45.数据,274.942605
category.stock.38.机遇,114.869349
category.stock.27.比率,139.612818
category.stock.44.缺陷,69.806409
category.stock.14.补偿,133.888301
category.stock.10.要求,377.790579
category.stock.17.覆盖,69.806409
category.stock.4.远远不够,73.840535
category.stock.18.需求,55.217265
category.stock.9.08,84.106135
category.stock.18.1.15,92.770495
category.stock.41.1.7,87.702169
category.stock.29.2055.92,92.770495
category.stock.9.3,355.939614
category.stock.19.上证,92.770495
category.stock.38.上证指数,417.47517
category.stock.31.不够,155.647725
category.stock.26.今天,244.343661
category.stock.19.仍,579.488354
category.stock.2.出口,84.106135
category.stock.27.创下,113.815949
category.stock.12.力度,77.110921
category.stock.29.历史,102.747823
category.stock.8.喜报,92.770495
category.stock.23.回升,81.316834
category.stock.0.困难,87.702169
category.stock.7.地方,63.378236
category.stock.21.开盘,192.282287
category.stock.12.报收,92.770495
category.stock.50.政府,268.200768
category.stock.50.新低,175.404338
category.stock.18.最差,87.702169
category.stock.48.未,137.423817
category.stock.35.激励,87.702169
category.stock.17.点,574.957817
category.stock.34.百分点,185.54099
category.stock.20.系列,101.194797
category.stock.44.缺失,87.702169
category.stock.2.解决,79.037809
category.stock.11.订单,169.734629
category.stock.37.记者,97.482238
category.stock.17.证券交易,87.702169
category.stock.13.评论,248.755416
category.stock.45.财政,75.441775
category.stock.51.遗留,92.770495
category.stock.39.A股,777.804951
category.stock.0.B股,174.85
category.stock.9.zl3oHdQ,87.425
category.stock.10.三个,121.070233
category.stock.4.上市公司,680.179619
category.stock.15.主要,282.807733
category.stock.37.人民币,203.659759
category.stock.51.任何人,87.425
category.stock.46.企业,490.105902
category.stock.46.国际,244.934925
category.stock.47.基础知识,87.425
category.stock.4.指,74.4836
category.stock.32.本土,74.4836
category.stock.17.本地,79.259886
category.stock.11.法律,87.425
category.stock.36.深圳证券交易所,87.425
category.stock.29.监管,570.39464
category.stock.27.类别,72.667741
category.stock.8.自由,76.631306
category.stock.37.计价,174.85
category.stock.32.通常,72.667741
category.stock.24.面值,87.425
category.stock.32.2012,153.161691
category.stock.11.7.7,90.762449
category.stock.20.8.1,90.762449
category.stock.51.GDP,72.368391
category.stock.48.zjB5oY6,90.762449
category.stock.45.一次,113.487016
category.stock.7.乐观,77.327011
category.stock.45.事实证明,85.803829
category.stock.24.前景,228.773379
category.stock.42.加速,75.441831
category.stock.10.即将,208.889332
category.stock.20.反弹,198.852654
category.stock.35.坚信,90.762449
category.stock.8.失败,79.556706
category.stock.15.投资银行,90.762449
category.stock.31.曾,343.980672
category.stock.21.正确,75.441831
category.stock.39.现实,79.556706
category.stock.42.谈,72.368391
category.stock.17.这种,65.331997
category.stock.41.预测,346.625187
category.stock.25.一定,67.832964
category.stock.34.一直,115.416927
category.stock.1.不难,85.755344
category.stock.21.介入,240.727553
category.stock.43.价值,476.713479
category.stock.33.价格,148.544808
category.stock.28.倍,185.320984
category.stock.6.型,223.327408
category.stock.42.来说,65.295081
category.stock.32.程度,73.767108
category.stock.20.股值,90.711163
category.stock.15.苹果,640.372257
category.stock.11.苹果公司,265.277283
category.stock.0.跌,339.457401
category.stock.35.跌下去,90.711163
category.stock.19.跌至,82.239135
category.stock.47.长期,327.450496
category.stock.23.3%,94.637619
category.stock.43.zYC7Lpn,100.106746
category.stock.28.万科,205.088325
category.stock.21.中型,85.288085
category.stock.37.之后,155.14804
category.stock.30.今日,244.366443
category.stock.42.去除,100.106746
category.stock.44.呼吁,94.637619
category.stock.0.地产,81.407678
category.stock.11.宏源证券,100.106746
category.stock.38.引爆,94.637619
category.stock.48.形势,85.288085
category.stock.29.总理,85.288085
category.stock.10.房地产,139.610676
category.stock.43.承压,94.637619
category.stock.28.投机,100.106746
category.stock.15.担忧,200.105615
category.stock.30.收紧,161.141165
category.stock.49.暴跌,198.496327
category.stock.26.未见好转,100.106746
category.stock.4.板块,364.980325
category.stock.42.民生银行,100.106746
category.stock.44.流动性,200.105615
category.stock.10.温家宝,100.106746
category.stock.40.火花,100.106746
category.stock.42.试图,87.747334
category.stock.39.货币政策,87.747334
category.stock.13.输家,100.106746
category.stock.38.通货膨胀,87.747334
category.stock.40.金,79.818958
category.stock.36.随之,85.288085
category.stock.32.领跌,100.106746
category.stock.39.30%,300.480306
category.stock.4.Ryan,93.758733
category.stock.10.Tsai,93.758733
category.stock.50.zYKdg0y,93.758733
category.stock.12.上台,93.758733
category.stock.2.上涨,470.154607
category.stock.33.上证综指,93.758733
category.stock.1.关注,386.16972
category.stock.9.因素,74.757444
category.stock.51.多方,88.636417
category.stock.40.提早,93.758733
category.stock.43.新任,93.758733
category.stock.44.普遍,135.872719
category.stock.35.牛市,85.002076
category.stock.44.生机,93.758733
category.stock.21.看好,379.590737
category.stock.50.莱恩,93.758733
category.stock.30.蔡,93.758733
category.stock.7.蛇,177.272834
category.stock.11.货币,149.882343
category.stock.16.转好,93.758733
category.stock.35.重现,82.183062
category.stock.26.顾资,93.758733
category.stock.32.颁行,93.758733
category.stock.8.领导班子,93.758733
category.stock.30.10.3,91.002608
category.stock.5.21.7,91.002608
category.stock.14.Facebook,91.002608
category.stock.47.Facebook2012,91.002608
category.stock.11.zY6DPC4,91.002608
category.stock.41.一份,74.004114
category.stock.45.一笔,250.26417
category.stock.6.优惠,82.503361
category.stock.29.公民,86.030867
category.stock.34.团体,86.030867
category.stock.48.或州,91.002608
category.stock.4.所得税,172.061734
category.stock.29.推行,86.030867
category.stock.1.支付,134.867644
category.stock.18.最近,205.356493
category.stock.35.期权,91.002608
category.stock.27.正义,91.002608
category.stock.49.社会活动,91.002608
category.stock.19.税收,182.005215
category.stock.25.组织,72.559879
category.stock.17.缴,91.002608
category.stock.24.网,74.004114
category.stock.25.联邦,82.503361
category.stock.4.脸谱,91.002608
category.stock.26.获得,188.623451
category.stock.46.退税,91.002608
category.stock.29.选择,219.534076
category.stock.33.避税,91.002608
category.stock.7.金额,295.195152
category.stock.31.高额,86.030867
category.stock.26.Jerram,128.649654
category.stock.16.Richard,121.621144
category.stock.22.zTAVoz6,128.649654
category.stock.36.仍具,128.649654
category.stock.40.吸引力,112.766269
category.stock.37.尤其,116.634337
category.stock.2.座客,128.649654
category.stock.47.拉姆,121.621144
category.stock.47.新加坡,106.933712
category.stock.31.杰,112.766269
category.stock.23.现金流,128.649654
category.stock.15.理查德,128.649654
category.stock.48.节目,109.605827
category.stock.45.证券市场,283.318855
category.stock.14.Colin,94.485944
category.stock.26.Gillis,94.485944
category.stock.51.zT8yIlg,94.485944
category.stock.15.一度,273.154778
category.stock.40.以上,70.65571
category.stock.37.吉利,236.880983
category.stock.7.尚,89.323898
category.stock.23.彻底,94.485944
category.stock.47.斯,163.11746
category.stock.20.暴涨,89.323898
category.stock.25.最高,161.991278
category.stock.40.期待,65.824363
category.stock.50.波士顿咨询公司,94.485944
category.stock.41.科林,94.485944
category.stock.51.转型,317.275409
category.stock.28.ETF,93.202632
category.stock.41.Frankel,93.202632
category.stock.42.Grasso,93.202632
category.stock.21.Steve,93.202632
category.stock.21.Stuart,93.202632
category.stock.2.zQLkXCX,93.202632
category.stock.10.专家,60.517389
category.stock.40.之前,129.860667
category.stock.41.二季度,186.405264
category.stock.42.兰考,93.202632
category.stock.12.前,313.136685
category.stock.5.史蒂夫,88.110697
category.stock.7.地区,70.701258
category.stock.51.开放式,88.110697
category.stock.32.弗,93.202632
category.stock.6.拉索,93.202632
category.stock.14.提高,71.793969
category.stock.49.斯图尔特,93.202632
category.stock.36.热门,75.793193
